epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1206.43,1.4094,0.94326,1.01722,0.56905,0.60843,0.59163,0.40413,1.19927,1.25101,1.05393,0.00604,0.00604,0.00604
42,4770.48,1.46069,0.99598,1.03374,0.56285,0.60141,0.58978,0.4034,1.19264,1.24131,1.04882,0.005941,0.005941,0.005941
43,6043.31,1.45872,0.98795,1.03206,0.56277,0.60851,0.59161,0.40601,1.18886,1.24818,1.04916,0.005842,0.005842,0.005842
44,7322.1,1.45107,0.98649,1.02803,0.55872,0.61874,0.58784,0.40431,1.18478,1.24062,1.04788,0.005743,0.005743,0.005743
45,8592.66,1.44782,0.9836,1.02984,0.56452,0.61391,0.59172,0.4066,1.18376,1.23873,1.04702,0.005644,0.005644,0.005644
46,9850.56,1.45446,0.98562,1.02826,0.56127,0.6124,0.58885,0.40483,1.18161,1.23778,1.04515,0.005545,0.005545,0.005545
47,11120.6,1.44007,0.97666,1.02753,0.56308,0.60478,0.58895,0.40457,1.18335,1.24065,1.0468,0.005446,0.005446,0.005446
48,12394.6,1.45339,0.97968,1.02819,0.56015,0.61214,0.5914,0.4063,1.18191,1.23967,1.04691,0.005347,0.005347,0.005347
49,13674.6,1.43711,0.97001,1.02415,0.56771,0.60209,0.59295,0.40791,1.18153,1.23782,1.04728,0.005248,0.005248,0.005248
50,15491.5,1.43636,0.96683,1.02514,0.56478,0.60606,0.59201,0.40685,1.18144,1.24006,1.04605,0.005149,0.005149,0.005149
51,1871.54,1.40215,0.92412,1.01353,0.56904,0.60958,0.59518,0.40847,1.18289,1.24271,1.04616,0.00505,0.00505,0.00505
52,3129.32,1.41744,0.94616,1.0177,0.56807,0.60778,0.59539,0.40873,1.1837,1.24148,1.04603,0.004951,0.004951,0.004951
53,4478.55,1.41889,0.94005,1.01827,0.57522,0.60439,0.59756,0.41068,1.18475,1.24513,1.04786,0.004852,0.004852,0.004852
54,5839.9,1.41237,0.93943,1.01412,0.57616,0.6016,0.59591,0.41028,1.18183,1.24235,1.04705,0.004753,0.004753,0.004753
55,7110.67,1.40964,0.93805,1.01546,0.57229,0.60492,0.59632,0.4106,1.18188,1.24399,1.04693,0.004654,0.004654,0.004654
56,8361.93,1.41802,0.94008,1.01559,0.57075,0.6073,0.59536,0.40941,1.18193,1.2446,1.04675,0.004555,0.004555,0.004555
57,9624.27,1.40291,0.93185,1.01375,0.57295,0.60374,0.59508,0.40955,1.18241,1.24649,1.04661,0.004456,0.004456,0.004456
58,10883.8,1.41745,0.93686,1.01421,0.57114,0.60536,0.59545,0.40981,1.18237,1.24426,1.04608,0.004357,0.004357,0.004357
59,12145.6,1.40663,0.93229,1.0118,0.5705,0.6067,0.59567,0.4101,1.18182,1.24468,1.04579,0.004258,0.004258,0.004258
60,13490.2,1.41322,0.93653,1.0154,0.57223,0.6019,0.59469,0.40956,1.18089,1.24725,1.04508,0.004159,0.004159,0.004159
61,14758.8,1.42052,0.94314,1.01906,0.57288,0.599,0.59411,0.40932,1.18011,1.24696,1.04515,0.00406,0.00406,0.00406
62,16013.4,1.41685,0.93622,1.01612,0.56819,0.60637,0.59439,0.4094,1.18,1.24513,1.04482,0.003961,0.003961,0.003961
63,17276.4,1.41681,0.93319,1.01554,0.56909,0.60671,0.595,0.40954,1.17942,1.2432,1.04458,0.003862,0.003862,0.003862
64,18546.2,1.40579,0.92368,1.01627,0.56785,0.60958,0.59573,0.41026,1.17911,1.24017,1.04408,0.003763,0.003763,0.003763
65,19809.6,1.40407,0.92958,1.0144,0.56836,0.60918,0.59565,0.41018,1.1783,1.23916,1.04285,0.003664,0.003664,0.003664
66,21073.3,1.39893,0.92156,1.01332,0.57003,0.6065,0.59609,0.41075,1.17762,1.23752,1.04259,0.003565,0.003565,0.003565
67,22339.1,1.40762,0.92586,1.01364,0.57094,0.60807,0.59624,0.41109,1.17703,1.23845,1.0424,0.003466,0.003466,0.003466
68,23673.3,1.3993,0.92171,1.01169,0.57357,0.60627,0.59653,0.41096,1.17699,1.23863,1.04215,0.003367,0.003367,0.003367
69,24951.8,1.40033,0.91425,1.01079,0.5729,0.60895,0.59686,0.41126,1.17681,1.2371,1.04193,0.003268,0.003268,0.003268
70,26215.2,1.39808,0.90961,1.01121,0.57251,0.60824,0.59764,0.41189,1.1764,1.23585,1.04134,0.003169,0.003169,0.003169
71,27480,1.39686,0.91137,1.00692,0.57144,0.6103,0.59761,0.41204,1.17649,1.23556,1.04114,0.00307,0.00307,0.00307
72,28743.8,1.39752,0.90942,1.01017,0.57057,0.61238,0.59761,0.41202,1.17664,1.23528,1.04111,0.002971,0.002971,0.002971
73,30001.9,1.38366,0.90485,1.00247,0.57318,0.61,0.59821,0.4122,1.17676,1.23411,1.04121,0.002872,0.002872,0.002872
74,31267.5,1.38973,0.90621,1.00431,0.57489,0.60612,0.59826,0.41209,1.17663,1.23368,1.04102,0.002773,0.002773,0.002773
75,32532.8,1.38701,0.89919,1.00418,0.57473,0.60628,0.59861,0.41224,1.17625,1.23327,1.04089,0.002674,0.002674,0.002674
76,33792,1.39246,0.90121,1.00526,0.57418,0.6069,0.59889,0.41262,1.17604,1.23385,1.04078,0.002575,0.002575,0.002575
77,35056,1.38278,0.89091,1.00642,0.57108,0.61346,0.59922,0.41291,1.17573,1.23378,1.04026,0.002476,0.002476,0.002476
78,36316.6,1.37003,0.88297,1.0032,0.57038,0.61382,0.59932,0.41293,1.17579,1.23371,1.04022,0.002377,0.002377,0.002377
79,37576.8,1.37708,0.88754,1.00581,0.57345,0.60988,0.59955,0.41314,1.1759,1.23407,1.04034,0.002278,0.002278,0.002278
80,38843.7,1.37273,0.8814,1.00103,0.57244,0.61166,0.59971,0.41347,1.17583,1.23417,1.04021,0.002179,0.002179,0.002179
81,40112.7,1.37266,0.88022,0.999,0.5726,0.61073,0.59989,0.41372,1.17558,1.23427,1.03998,0.00208,0.00208,0.00208
82,41386.4,1.36829,0.88143,0.99668,0.57321,0.61054,0.5998,0.4136,1.17537,1.23451,1.03974,0.001981,0.001981,0.001981
